"taxon_id","taxon_name","taxon_rank","input_name","input_author","match_type","match_accepted","wcvp_status","wcvp_name","accepted_name","final_name","name_changed"
"ACPE","Acer pensylvanicum L.","species","Acer pensylvanicum","L.","Exact (with author)",TRUE,"Accepted","Acer pensylvanicum","Acer pensylvanicum L.","Acer pensylvanicum L.",FALSE
"ACSA3","Acer saccharum Marshall","species","Acer saccharum","Marshall","Exact (with author)",TRUE,"Accepted","Acer saccharum","Acer saccharum Marshall","Acer saccharum Marshall",FALSE
"VILA11","Viburnum lantanoides Michx.","species","Viburnum lantanoides","Michx.","Exact (with author)",TRUE,"Accepted","Viburnum lantanoides","Viburnum lantanoides Michx.","Viburnum lantanoides Michx.",FALSE
"FAGR","Fagus grandifolia Ehrh.","species","Fagus grandifolia","Ehrh.","Exact (with author)",TRUE,"Accepted","Fagus grandifolia","Fagus grandifolia Ehrh.","Fagus grandifolia Ehrh.",FALSE
"BEAL2","Betula alleghaniensis Britton","species","Betula alleghaniensis","Britton","Exact (with author)",TRUE,"Accepted","Betula alleghaniensis","Betula alleghaniensis Britton","Betula alleghaniensis Britton",FALSE
"PIRU","Picea rubens Sarg.","species","Picea rubens","Sarg.","Exact (with author)",TRUE,"Accepted","Picea rubens","Picea rubens Sarg.","Picea rubens Sarg.",FALSE
"ACRU","Acer rubrum L.","species","Acer rubrum","L.","Exact (with author)",TRUE,"Accepted","Acer rubrum","Acer rubrum L.","Acer rubrum L.",FALSE
"TSCA","Tsuga canadensis (L.) Carrière","species","Tsuga canadensis","(L.) Carrière","Exact (with author)",TRUE,"Accepted","Tsuga canadensis","Tsuga canadensis (L.) Carrière","Tsuga canadensis (L.) Carrière",FALSE
"QURU","Quercus rubra L.","species","Quercus rubra","L.","Exact (with author)",TRUE,"Accepted","Quercus rubra","Quercus rubra L.","Quercus rubra L.",FALSE
"CYAC3","Cypripedium acaule Aiton","species","Cypripedium acaule","Aiton","Exact (with author)",TRUE,"Accepted","Cypripedium acaule","Cypripedium acaule Aiton","Cypripedium acaule Aiton",FALSE
"TRUN","Trillium undulatum Willd.","species","Trillium undulatum","Willd.","Exact (with author)",TRUE,"Accepted","Trillium undulatum","Trillium undulatum Willd.","Trillium undulatum Willd.",FALSE
"ACSAS","Acer saccharum Marshall var. saccharum","variety","Acer saccharum var. saccharum","Marshall NA saccharum","Exact (without author)",TRUE,"Accepted","Acer saccharum var. saccharum","Acer saccharum var. saccharum","Acer saccharum var. saccharum",TRUE
"PRPEP","Prunus pensylvanica L. f. var. pensylvanica","variety","Prunus pensylvanica var. pensylvanica","L. f. NA pensylvanica","Exact (without author)",TRUE,"Accepted","Prunus pensylvanica","Prunus pensylvanica L.f.","Prunus pensylvanica L.f.",TRUE
"FRPE","Fraxinus pennsylvanica Marshall","species","Fraxinus pennsylvanica","Marshall","Exact (with author)",TRUE,"Accepted","Fraxinus pennsylvanica","Fraxinus pennsylvanica Marshall","Fraxinus pennsylvanica Marshall",FALSE
"ABBA","Abies balsamea (L.) Mill.","species","Abies balsamea","(L.) Mill.","Exact (with author)",TRUE,"Accepted","Abies balsamea","Abies balsamea (L.) Mill.","Abies balsamea (L.) Mill.",FALSE
"UVSE","Uvularia sessilifolia L.","species","Uvularia sessilifolia","L.","Exact (with author)",TRUE,"Accepted","Uvularia sessilifolia","Uvularia sessilifolia L.","Uvularia sessilifolia L.",FALSE
"POTR5","Populus tremuloides Michx.","species","Populus tremuloides","Michx.","Exact (with author)",TRUE,"Accepted","Populus tremuloides","Populus tremuloides Michx.","Populus tremuloides Michx.",FALSE
