"taxon_name","accepted_wcvp_name","accepted_wcvp_name_binomial"
"Abelmoschus esculentus (L.) Moench","Abelmoschus esculentus (L.) Moench","Abelmoschus esculentus"
"Abelmoschus sp.","Abelmoschus sp.","Abelmoschus sp."
"Abies amabilis (Douglas ex Loudon) Douglas ex Forbes","Abies amabilis Douglas ex J.Forbes","Abies amabilis"
"Abies balsamea (L.) Mill.","Abies balsamea (L.) Mill.","Abies balsamea"
"Abies balsamea (L.) Mill. var. phanerolepis Fernald","Abies balsamea var. phanerolepis Fernald","Abies balsamea"
"Abies lowiana (Gordon & Glend.) A. Murray bis","Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.","Abies concolor"
"Abies concolor (Gord. & Glend.) Lindl. ex Hildebr.","Abies concolor (Gordon & Glend.) Lindl. ex Hildebr.","Abies concolor"
"Abies fraseri (Pursh) Poir.","Abies fraseri (Pursh) Poir.","Abies fraseri"
"Abies grandis (Douglas ex D. Don) Lindl.","Abies grandis (Douglas ex D.Don) Lindl.","Abies grandis"
"Abies lasiocarpa (Hook.) Nutt.","Abies lasiocarpa (Hook.) Nutt.","Abies lasiocarpa"
"Abies lasiocarpa (Hook.) Nutt. var. lasiocarpa","Abies lasiocarpa var. lasiocarpa","Abies lasiocarpa"
"Abies magnifica A. Murray bis","Abies magnifica A.Murray bis","Abies magnifica"
"Abies procera Rehder","Abies procera Rehder","Abies procera"
"Abies sp.","Abies sp.","Abies sp."
"Abies spp.","Abies spp.","Abies sp."
"Abronia elliptica A. Nelson","Abronia elliptica A.Nelson","Abronia elliptica"
"Abronia fragrans Nutt. ex Hook.","Abronia fragrans Nutt. ex Hook.","Abronia fragrans"
"Abronia spp.","Abronia spp.","Abronia sp."
"Abronia sp.","Abronia sp.","Abronia sp."
"Abrus precatorius L.","Abrus precatorius L.","Abrus precatorius"
"Abutilon abutiloides (Jacq.) Garcke ex Hochr.","Abutilon abutiloides (Jacq.) Garcke ex Hochr.","Abutilon abutiloides"
"Abutilon grandifolium (Willd.) Sweet","Abutilon grandifolium (Willd.) Sweet","Abutilon grandifolium"
"Abutilon hirtum (Lam.) Sweet","Abutilon hirtum (Lam.) Sweet","Abutilon hirtum"
"Abutilon incanum (Link) Sweet","Abutilon incanum (Link) Sweet","Abutilon incanum"
"Abutilon palmeri A. Gray","Abutilon palmeri A.Gray","Abutilon palmeri"
"Abutilon parvulum A. Gray","Abutilon parvulum A.Gray","Abutilon parvulum"
"Abutilon sp.","Abutilon sp.","Abutilon sp."
"Abutilon spp.","Abutilon spp.","Abutilon sp."
"Abutilon theophrasti Medik.","Abutilon theophrasti Medik.","Abutilon theophrasti"
"Bastardia viscosa (L.) Kunth","Abutilon viscosum (L.) Dorr","Abutilon viscosum"
"Acacia koa A. Gray","Acacia koa A.Gray","Acacia koa"
"Acacia sp.","Acacia sp.","Acacia sp."
"Acacia angustissima (Mill.) Kuntze","Acaciella angustissima (Mill.) Britton & Rose","Acaciella angustissima"
